IDSubtitle	MovieName	MovieYear	LanguageName	ISO639	SubAddDate	ImdbID	SubFormat	SubSumCD	MovieReleaseName	MovieFPS	SeriesSeason	SeriesEpisode	SeriesIMDBParent	MovieKind	URL
9482464	"I Am Georgina" El futuro es ahora		Italian	it	2023-03-28 17:20:24	27236500	srt	1	 Soy.Georgina.S02E06.WEBRip.Netflix	0.000	2	6	15494864	tv	http://www.opensubtitles.org/subtitles/9482464/i-am-georgina-el-futuro-es-ahora-it
9482465	"Young Lady and Gentleman" Episode #1.46	2022	Vietnamese	vi	2023-03-28 17:20:28	18554850	srt	1	 Young.Lady.and.Gentleman.S01E46.1080p.NF.WEB-DL.AAC2.0.x264-HBO	29.970	1	46	15514606	tv	http://www.opensubtitles.org/subtitles/9482465/young-lady-and-gentleman-episode-1-46-vi
9482478	"I Am Georgina" El día que cambió mi vida	2022	Italian	it	2023-03-28 17:20:31	16534990	srt	1	 Soy.Georgina.S01E01.WEBRip.Netflix	0.000	1	1	15494864	tv	http://www.opensubtitles.org/subtitles/9482478/i-am-georgina-el-dia-que-cambio-mi-vida-it
9482479	"Endeavour" Striker	2021	Slovenian	sl	2023-03-28 17:20:37	10814984	srt	1	Endeavour.S08E01.720p.AMZN.WEB-DL.DDP2.0.H.264-TEPES	25.000	8	1	2701582	tv	http://www.opensubtitles.org/subtitles/9482479/endeavour-striker-sl
9482480	"Young Lady and Gentleman" Episode #1.47	2022	Vietnamese	vi	2023-03-28 17:20:47	18671112	srt	1	 Young.Lady.and.Gentleman.S01E47.1080p.NF.WEB-DL.AAC2.0.x264-HBO	29.970	1	47	15514606	tv	http://www.opensubtitles.org/subtitles/9482480/young-lady-and-gentleman-episode-1-47-vi
9482481	"Young Lady and Gentleman" Episode #1.48	2022	Vietnamese	vi	2023-03-28 17:21:03	18689078	srt	1	 Young.Lady.and.Gentleman.S01E48.1080p.NF.WEB-DL.AAC2.0.x264-HBO	29.970	1	48	15514606	tv	http://www.opensubtitles.org/subtitles/9482481/young-lady-and-gentleman-episode-1-48-vi
9482482	"Young Lady and Gentleman" Episode #1.49	2022	Vietnamese	vi	2023-03-28 17:21:20	18933356	srt	1	 Young.Lady.and.Gentleman.S01E49.1080p.NF.WEB-DL.AAC2.0.x264-HBO	29.970	1	49	15514606	tv	http://www.opensubtitles.org/subtitles/9482482/young-lady-and-gentleman-episode-1-49-vi
9482483	"Young Lady and Gentleman" Episode #1.50	2022	Vietnamese	vi	2023-03-28 17:21:37	19048708	srt	1	 Young.Lady.and.Gentleman.S01E50.1080p.NF.WEB-DL.AAC2.0.x264-HBO	29.970	1	50	15514606	tv	http://www.opensubtitles.org/subtitles/9482483/young-lady-and-gentleman-episode-1-50-vi
9482484	"Endeavour" Scherzo	2021	Slovenian	sl	2023-03-28 17:21:39	14971006	srt	1	Endeavour.S08E02.720p.AMZN.WEB-DL.DDP2.0.H.264-TEPES	25.000	8	2	2701582	tv	http://www.opensubtitles.org/subtitles/9482484/endeavour-scherzo-sl
9482485	"Young Lady and Gentleman" Episode #1.51	2022	Vietnamese	vi	2023-03-28 17:21:54	19360044	srt	1	 Young.Lady.and.Gentleman.S01E51.1080p.NF.WEB-DL.AAC2.0.x264-HBO	29.970	1	51	15514606	tv	http://www.opensubtitles.org/subtitles/9482485/young-lady-and-gentleman-episode-1-51-vi
9482486	"Young Lady and Gentleman" Episode #1.52	2022	Vietnamese	vi	2023-03-28 17:22:11	19360052	srt	1	 Young.Lady.and.Gentleman.S01E52.1080p.NF.WEB-DL.AAC2.0.x264-HBO	29.970	1	52	15514606	tv	http://www.opensubtitles.org/subtitles/9482486/young-lady-and-gentleman-episode-1-52-vi
9482603	"I Am Georgina" El día que cambió mi vida	2022	Spanish	es	2023-03-28 17:23:03	16534990	srt	1	 Soy.Georgina.S01E01.WEBRip.Netflix.es-ES[cc]	0.000	1	1	15494864	tv	http://www.opensubtitles.org/subtitles/9482603/i-am-georgina-el-dia-que-cambio-mi-vida-es
9482604	"I Am Georgina" El día que cambió mi vida	2022	Spanish	es	2023-03-28 17:23:03	16534990	srt	1	 Soy.Georgina.S01E01.WEBRip.Netflix.es-ES-forced	0.000	1	1	15494864	tv	http://www.opensubtitles.org/subtitles/9482604/i-am-georgina-el-dia-que-cambio-mi-vida-es
9482488	"Endeavour" Terminus	2021	Slovenian	sl	2023-03-28 17:23:10	14971020	srt	1	Endeavour.S08E03.720p.AMZN.WEB-DL.DDP2.0.H.264-TEPES	25.000	8	3	2701582	tv	http://www.opensubtitles.org/subtitles/9482488/endeavour-terminus-sl
